seqnames,start,end
chr1,191199,192000
chr1,866699,867100
chr1,897399,897500
chr1,906699,907200
chr1,912699,913000
chr1,917399,917500
chr1,925699,926300
chr1,933099,933400
chr1,943199,943400
chr1,970499,970600
chr1,1009399,1009500
chr1,1026699,1026800
chr1,1032899,1034500
chr1,1039499,1040400
chr1,1062499,1062700
chr1,1067899,1068000
chr1,1069799,1069900
chr1,1071999,1072100
chr1,1073799,1074200
chr1,1124999,1125200
chr1,1132599,1132900
chr1,1133299,1133500
chr1,1134599,1134700
chr1,1144099,1144500
chr1,1162699,1163400
chr1,1164499,1164600
chr1,1165899,1166000
chr1,1173799,1174200
chr1,1182899,1183200
chr1,1200699,1201200
chr1,1208799,1209300
chr1,1212799,1213700
chr1,1234199,1234300
chr1,1237699,1237800
chr1,1246399,1247400
chr1,1281699,1282000
chr1,1290899,1291500
chr1,1305399,1306000
chr1,1309499,1309800
chr1,1318099,1318200
chr1,1332099,1332200
chr1,1332799,1333400
chr1,1347699,1347800
chr1,1371499,1371700
chr1,1400899,1401100
chr1,1426799,1426900
chr1,1433099,1433200
chr1,1434199,1434600
chr1,1437099,1437200
chr1,1460699,1460800
chr1,1472899,1473000
chr1,1628999,1629300
chr1,1629699,1630900
chr1,1677799,1678100
chr1,1758999,1759100
chr1,1780199,1780300
chr1,1899499,1899700
chr1,1996599,1996700
chr1,2003499,2004000
chr1,2018499,2019100
chr1,2081999,2082900
chr1,2085099,2085400
chr1,2091699,2091900
chr1,2126999,2127400
chr1,2148699,2149100
chr1,2151399,2151500
chr1,2190299,2190700
chr1,2205599,2205700
chr1,2208499,2208600
chr1,2229899,2230000
chr1,2233999,2234700
chr1,2238699,2238800
chr1,2245999,2246200
chr1,2246599,2247000
chr1,2248499,2248600
chr1,2249099,2249400
chr1,2251799,2252000
chr1,2276799,2276900
chr1,2279099,2279500
chr1,2279999,2280100
chr1,2290499,2291600
chr1,2294399,2294600
chr1,2300099,2301500
chr1,2315399,2315600
chr1,2352899,2353000
chr1,2408599,2408700
chr1,2415499,2415600
chr1,2438099,2438200
chr1,2459999,2460100
chr1,2505499,2505600
chr1,2528199,2528300
chr1,2528999,2530700
chr1,2554699,2555800
chr1,2577799,2578000
chr1,2578599,2578800
chr1,2584999,2585200
chr1,2592199,2592300
chr1,2597699,2597800
chr1,2643599,2643700
chr1,2652199,2655100
chr1,2655599,2655900
chr1,2677599,2677700
chr1,2686699,2686800
chr1,2688099,2688200
chr1,2697499,2697700
chr1,2777799,2777900
chr1,2786199,2786400
chr1,2787599,2787700
chr1,2789199,2789900
chr1,2791199,2791300
chr1,2800599,2800800
chr1,2804799,2804900
chr1,2806399,2806500
chr1,2807999,2808100
chr1,2815799,2815900
chr1,2826999,2827100
chr1,2828799,2829300
chr1,2830299,2830400
chr1,2830899,2831000
chr1,2832899,2833100
chr1,2834099,2834300
chr1,2835099,2835200
chr1,2852499,2852700
chr1,2854099,2854400
chr1,2855399,2855500
chr1,2857799,2857900
chr1,2863399,2863500
chr1,2864699,2864800
chr1,2866099,2867100
chr1,2873399,2873500
chr1,2874599,2875000
chr1,2875399,2875700
chr1,2876199,2876300
chr1,2876899,2877000
chr1,2881099,2881200
chr1,2881899,2882000
chr1,2889699,2889800
chr1,2890499,2890600
chr1,2891299,2891400
chr1,2892699,2892800
chr1,2893699,2894000
chr1,2895599,2895700
chr1,2899399,2899500
chr1,2905799,2905900
chr1,2906799,2906900
chr1,2911099,2911600
chr1,2913199,2913300
chr1,2920399,2920500
chr1,2922899,2923000
chr1,2923699,2923800
chr1,2928099,2928300
chr1,2928799,2928900
chr1,2930699,2931700
chr1,2932899,2933800
chr1,2936599,2936700
chr1,2946499,2946600
chr1,2948899,2949000
chr1,2949999,2950200
chr1,2959899,2960000
chr1,2962199,2962300
chr1,2962899,2963300
chr1,2967499,2967600
chr1,2974699,2974800
chr1,2975499,2975600
chr1,2980899,2981000
chr1,2983099,2983200
chr1,2991899,2992000
chr1,2999999,3000300
chr1,3001299,3002200
chr1,3004099,3004400
chr1,3011799,3011900
chr1,3015399,3015500
chr1,3016899,3017400
chr1,3018499,3018600
chr1,3019199,3019300
chr1,3028399,3028600
chr1,3029499,3029600
chr1,3031399,3032100
chr1,3037099,3037600
chr1,3038799,3038900
chr1,3055199,3055300
chr1,3063099,3064000
chr1,3068099,3068300
chr1,3070699,3071500
chr1,3073599,3074200
chr1,3078699,3079100
chr1,3092199,3092300
chr1,3098999,3099400
chr1,3100199,3100700
chr1,3109799,3110100
chr1,3112799,3112900
chr1,3115999,3116100
chr1,3118699,3118800
chr1,3139199,3139600
chr1,3140099,3140500
chr1,3144199,3144300
chr1,3145999,3146100
chr1,3155299,3155700
chr1,3182199,3182300
chr1,3183499,3184000
chr1,3186599,3186700
chr1,3218999,3219400
chr1,3231799,3232600
chr1,3238499,3238800
chr1,3244099,3244200
chr1,3246899,3247000
chr1,3259099,3259200
chr1,3261699,3261800
chr1,3264299,3264400
chr1,3265599,3265700
chr1,3275499,3275600
chr1,3276299,3276600
chr1,3279099,3279200
chr1,3279599,3279900
chr1,3284799,3285100
chr1,3285799,3285900
chr1,3287099,3287200
chr1,3290499,3290800
chr1,3292099,3292200
chr1,3293299,3293400
chr1,3293799,3293900
chr1,3296399,3296500
chr1,3298999,3299100
chr1,3304499,3304600
chr1,3313099,3313400
chr1,3314099,3314200
chr1,3335399,3335500
chr1,3357199,3357300
chr1,3359699,3360100
chr1,3364799,3364900
chr1,3376799,3376900
