seqnames,start,end,width,strand,annot.seqnames,annot.start,annot.end,annot.width,annot.strand,annot.id,annot.tx_id,annot.gene_id,annot.symbol,annot.type
chr1,1433099,1433200,102,*,chr1,1429861,1433860,4000,+,1to5kb:190,ENST00000495558.1,64856,VWA1,hg38_genes_1to5kb
chr1,1433099,1433200,102,*,chr1,1430523,1434522,4000,+,1to5kb:191,ENST00000338660.5,64856,VWA1,hg38_genes_1to5kb
chr1,1433099,1433200,102,*,chr1,1430690,1434689,4000,+,1to5kb:192,ENST00000476993.2,64856,VWA1,hg38_genes_1to5kb
chr1,1433099,1433200,102,*,chr1,1430735,1434734,4000,+,1to5kb:193,ENST00000471398.1,64856,VWA1,hg38_genes_1to5kb
chr1,1433099,1433200,102,*,chr1,1432844,1436843,4000,-,1to5kb:11164,ENST00000434150.1,102724312,LINC01770,hg38_genes_1to5kb
chr1,1433099,1433200,102,*,chr1,1430663,1434187,3525,-,intron:64235,ENST00000430109.1,102724312,LINC01770,hg38_genes_introns
chr1,1433099,1433200,102,*,chr1,1430663,1434177,3515,-,intron:64237,ENST00000454562.1,102724312,LINC01770,hg38_genes_introns
chr1,1433099,1433200,102,*,chr1,1430955,1434177,3223,-,intron:64238,ENST00000417917.1,102724312,LINC01770,hg38_genes_introns
chr1,1433099,1433200,102,*,chr1,1433015,1433559,545,*,shelf:79,NA,NA,NA,hg38_cpg_shelves
chr1,2415499,2415600,102,*,chr1,2413565,2417564,4000,-,1to5kb:11300,ENST00000288774.8,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2413565,2417564,4000,-,1to5kb:11301,ENST00000447513.7,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2413457,2417456,4000,-,1to5kb:11302,ENST00000650293.1,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2413541,2417540,4000,-,1to5kb:11303,ENST00000507596.5,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2413536,2417535,4000,-,1to5kb:11304,ENST00000510434.1,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2414798,2418797,4000,-,1to5kb:11305,ENST00000508384.5,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2411837,2415836,4000,-,1to5kb:11307,ENST00000502666.1,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2413515,2417514,4000,-,1to5kb:11308,ENST00000514502.1,5192,PEX10,hg38_genes_1to5kb
chr1,2415499,2415600,102,*,chr1,2414718,2416717,2000,*,shore:315,NA,NA,NA,hg38_cpg_shores
chr1,2999999,3000300,302,*,chr1,2999801,3001800,2000,*,shore:380,NA,NA,NA,hg38_cpg_shores
chr1,3460099,3460200,102,*,chr1,3454812,3463065,8254,+,intron:1998,ENST00000378378.9,27237,ARHGEF16,hg38_genes_introns
chr1,3460099,3460200,102,*,chr1,3459120,3474136,15017,*,inter:105,NA,NA,NA,hg38_cpg_inter
chr1,3880799,3880900,102,*,chr1,3878507,3882506,4000,+,1to5kb:436,ENST00000461150.1,1677,DFFB,hg38_genes_1to5kb
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2233,ENST00000338895.7,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3873138,3883506,10369,+,intron:2240,ENST00000491998.5,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2247,ENST00000468793.5,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2253,ENST00000339350.7,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2260,ENST00000477548.5,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2266,ENST00000378209.8,1677,DFFB,hg38_genes_introns
